tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
892420643555336193,,,2017-08-01 16:23:56+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,phineas,None,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,9.7,False,bagel,8.6,False,banana,7.6,False,35177.0,7426.0
892177421306343426,,,2017-08-01 00:17:27+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,tilly,None,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,chihuahua,32.4,True,pekinese,9.1,True,papillon,6.9,True,30456.0,5523.0
891815181378084864,,,2017-07-31 00:18:03+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,archie,None,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,chihuahua,71.6,True,malamute,7.8,True,kelpie,3.1,True,22910.0,3647.0
891689557279858688,,,2017-07-30 15:58:51+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,darla,None,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,17.0,False,labrador_retriever,16.8,True,spatula,4.1,False,38442.0,7596.0
891327558926688256,,,2017-07-29 16:00:24+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,franklin,None,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,55.6,True,english_springer,22.6,True,german_short-haired_pointer,17.5,True,36716.0,8187.0
891087950875897856,,,2017-07-29 00:08:17+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,none,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,chesapeake_bay_retriever,42.6,True,irish_terrier,11.6,True,indian_elephant,7.7,False,18507.0,2741.0
890971913173991426,,,2017-07-28 16:27:12+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,jax,None,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,appenzeller,34.2,True,border_collie,19.9,True,ice_lolly,19.4,False,10763.0,1777.0
890729181411237888,,,2017-07-28 00:22:40+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,none,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,pomeranian,56.6,True,eskimo_dog,17.8,True,pembroke,7.7,True,59228.0,16611.0
890609185150312448,,,2017-07-27 16:25:51+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,zoey,None,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish_terrier,48.8,True,irish_setter,19.3,True,chesapeake_bay_retriever,11.8,True,25500.0,3794.0
890240255349198849,,,2017-07-26 15:59:51+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,pembroke,51.1,True,cardigan,45.1,True,chihuahua,2.9,True,29082.0,6433.0
890006608113172480,,,2017-07-26 00:31:25+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,koda,None,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,samoyed,95.8,True,pomeranian,1.4,True,chow,0.8,True,28057.0,6457.0
889880896479866881,,,2017-07-25 16:11:53+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,bruno,None,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,french_bulldog,37.7,True,labrador_retriever,15.1,True,muzzle,8.3,False,25523.0,4385.0
889665388333682689,,,2017-07-25 01:55:32+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,,,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,none,puppo,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1.0,pembroke,96.6,True,cardigan,2.7,True,basenji,0.5,True,43799.0,8805.0
889638837579907072,,,2017-07-25 00:10:02+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,,,,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,ted,None,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,french_bulldog,99.2,True,boxer,0.2,True,staffordshire_bullterrier,0.1,True,24624.0,3937.0
889531135344209921,,,2017-07-24 17:02:04+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,,,,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden_retriever,95.3,True,labrador_retriever,1.4,True,redbone,0.8,True,13869.0,1987.0
889278841981685760,,,2017-07-24 00:19:32+00:00,"""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone",This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,,,,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,oliver,None,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,62.6,True,borzoi,19.5,True,saluki,2.7,True,22973.0,4688.0
